Date,ACWI,TLT,VWO
2020-01-03,-0.00865483551868973,0.015282959176324162,-0.017950566392302747
2020-01-06,0.002265010544927115,-0.0056946868245963955,-0.001790551743119817
2020-01-07,-0.002516952631878233,-0.004927960875800608,-0.0004481393339563766
2020-01-08,0.004902270997414249,-0.006632834589807679,0.004472296497512573
2020-01-09,0.005626735155671803,0.003504133500726425,0.005118505555092412
2020-01-10,-0.002246915342719369,0.008851550243563544,0.0048716044407681736
2020-01-13,0.007470230279359669,-0.003038403254433497,0.013602643546702708
2020-01-14,-0.0008686442477801037,0.005130934147851818,-0.004586643077939101
2020-01-15,-0.0006209630849678405,0.006609681389696753,-0.006368769006940056
2020-01-16,0.007302419370899038,-0.0031556160565653357,0.005054390421385335
2020-01-17,0.0027093763984247232,-0.008584999480983235,0.006336761494568854
2020-01-21,-0.005426019123182968,0.010450899975213979,-0.025144672459839423
2020-01-22,0.0007416262078132618,0.0035071823463406204,0.006012721680757949
2020-01-23,0.00012358233240838956,0.006977569751799528,-0.00914470158456604
2020-01-24,-0.008312259287921009,0.008056006910165614,-0.00764736396754806
2020-01-27,-0.018736768275288362,0.015434824647441836,-0.03422085384424145
2020-01-28,0.009349378085687476,-0.007862205300432912,0.008376052092470498
2020-01-29,-0.00012569335252266,0.009731717917080829,0.004623234353231087
2020-01-30,0.0,0.00013837084135737143,-0.013700438266031956
2020-01-31,-0.017764729344629693,0.009088413458385958,-0.017929287714424813
2020-02-03,0.006762370641367532,-0.002470496906980202,0.007115851962503417
2020-02-04,0.017021132076937562,-0.013558532887013364,0.023590917898293373
2020-02-05,0.00945636194825461,-0.01099494492579911,0.00552491450307846
2020-02-06,0.001979508978498856,0.004496595897466982,-0.00045925275751157457
2020-02-07,-0.006572116230177727,0.012400875529015032,-0.013643410639973652
2020-02-10,0.004964040172727557,0.002765743053677383,0.006266713128983081
2020-02-11,0.005062721920823243,-0.005053108093964198,0.012645282338512143
2020-02-12,0.006629055656856231,-0.00507887816083219,0.012713028400859638
2020-02-13,-0.004537413359326337,0.0038289097187975685,-0.010658933156406203
2020-02-14,0.0009828235380195949,0.004367912654928752,-0.0020540952444534355
2020-02-18,-0.0039370090790544765,0.006825427213723145,-0.0034329253745335464
2020-02-19,0.004182517280153064,-6.867425095169466e-05,0.008219238431505183
2020-02-20,-0.005786427096859725,0.007802910237231231,-0.01373644469713975
2020-02-21,-0.007809116342476052,0.009297309391760322,-0.0036951506983440296
2020-02-24,-0.034949140016165,0.014818111249073063,-0.03580223222201484
2020-02-25,-0.025978849883240507,0.0053103546209909425,-0.007945192445939941
2020-02-26,0.0009253711335279746,-0.0053103546209909425,0.006265132209501978
2020-02-27,-0.0356436298591456,0.010790194097431538,-0.024314350575760812
2020-02-28,-0.010599543634320696,0.022332336349601967,-0.002711045610756635
2020-03-02,0.03253978914303435,-0.008860171896712288,0.019066790816166357
2020-03-03,-0.024133475051916875,0.015406237336348383,-0.004854397117695974
2020-03-04,0.04021247493279212,-0.010675366090398875,0.014013320390806605
2020-03-05,-0.031060055984010404,0.024586992062834767,-0.01938043274347523
2020-03-06,-0.01797396978413701,0.050734847977946806,-0.019015277024608146
2020-03-09,-0.07830213609327252,0.026742344061615242,-0.07746981585556068
2020-03-10,0.044939865670372114,-0.05261848277807424,0.049149366899809976
2020-03-11,-0.05305778324913657,-0.03749182743430346,-0.04431193984752424
2020-03-12,-0.10343362398217071,0.006177781164081075,-0.10595646551830962
2020-03-13,0.06919364122185367,-0.0228625263000497,0.06770049732050376
2020-03-16,-0.11895517619259799,0.06275458707782633,-0.12884685894212744
2020-03-17,0.060583212299562206,-0.0690103530779771,0.060848304635948036
2020-03-18,-0.06199169549243333,-0.05806621757378938,-0.08489948841697226
2020-03-19,0.006322476611287264,0.02686142165841421,0.005502524937948117
2020-03-20,-0.03220055049626325,0.07250253842913246,0.004508906065225027
2020-03-23,-0.017877154569677423,0.04038287987729916,-0.02143640886753806
2020-03-24,0.07821455875837646,-0.01878986479912559,0.06112666382606369
2020-03-25,0.027035490987234567,-0.0022738395382981835,0.032211765912814716
2020-03-26,0.05134299923854435,0.004909811490846572,0.03957726833048447
2020-03-27,-0.029709909047245908,0.026342755121475214,-0.05555345716094129
2020-03-30,0.02180972586978136,-0.008262963044775695,0.014479877357362891
2020-03-31,-0.007483534939660252,-0.008150040999287178,0.004780405001228338
2020-04-01,-0.0469538919548107,0.01246961791372403,-0.03611372962573167
2020-04-02,0.01990116659322272,0.006325812222303995,0.028934582381589635
2020-04-03,-0.015055290127222953,0.0023766730690093496,-0.0194005238671755
2020-04-06,0.05984963317704928,-0.002614705819335761,0.048104888553800684
2020-04-07,0.00109846533603708,-0.010527639423279389,0.005817374399481157
2020-04-08,0.02386607485960912,-0.007302646992527251,0.01153419714406434
2020-04-09,0.014443381849524428,0.001815560022050633,-0.001721704087687126
2020-04-13,-0.008032153122962349,-0.009171835105606263,0.003726564933613119
2020-04-14,0.02539011744788411,-0.0002441629743170637,0.019830699152682207
2020-04-15,-0.025237935844209858,0.0261444713554706,-0.022409132061430803
2020-04-16,0.0042507847158610446,0.011292896340706626,0.0057208610623002976
2020-04-17,0.026903362629214556,-0.013495314731142294,0.016127090932893218
2020-04-20,-0.01470720833064032,0.008012661788641573,-0.007324036576668469
2020-04-21,-0.03115995099517921,0.012512953060906717,-0.028098166322812812
2020-04-22,0.023196588697943277,-0.010269139734216282,0.025550389841923593
2020-04-23,-0.0010565195110876502,0.005294495376082509,-0.003976131148349715
2020-04-24,0.010216439389382437,0.0023440815815138905,-0.0014238714462155855
2020-04-27,0.016161614176056105,-0.018789283485178387,0.018634075196420685
2020-04-28,0.00014710105751358782,0.011445596709223516,0.0025143232241875424
2020-04-29,0.026126348313677106,-0.0052024333482139085,0.026704992334277478
2020-04-30,-0.015593758050351347,-0.011745558486239815,-0.017539589358050556
2020-05-01,-0.026691807912839316,0.007230551960712539,-0.03402547074094997
2020-05-04,0.0032825095096900014,-0.00471483840014475,0.012507338644170751
2020-05-05,0.006976963440461503,-0.006421671425561826,0.004509586021033574
2020-05-06,-0.005339683706563569,-0.016267385587711125,-0.002534146064068654
2020-05-07,0.013149327701553304,0.016568400262956473,0.006463406955829587
2020-05-08,0.016449965346180484,-0.013086359623944332,0.022161550431999633
2020-05-11,0.0010101695471957939,-0.007836447645233058,-0.004943715257770265
