MajInv Dk Obl,MajInv Gl Obl,SparInv Stab Obl,BankInv Korte Obl,DI Dk Ind,Xact OMX C25,MSCI World,MSCI ACWI,MSCI Min. Vol,MSCI Small Cap,MSCI EM
-0.00197238722720439,0.000967585948735916,0,0,-0.00577741624001327,-0.00443032603677551,-0.000559660901567227,-0.00117966275329362,0.00160226816801679,-0.00135196054842246,-0.00740726764130839
0.00197238722720439,0,-0.00355240160436754,0,0.00509945011234958,0.00423811075506819,0.0046336601875856,0.00600178324105549,0.00479145827307637,0.00236473281751404,0.0146905193453928
-0.00197238722720439,0.000483442117223731,-0.000355935223548265,0,0.00439858601246801,0.00441163082441509,0.00477662015876268,0.00409812645446461,0.000367624536950828,0.00448884156274687,0.011296429229835
0,-0.000967118063774919,0.00355366400986856,0.00154236011626629,0.00370682817035384,0.00477327875265754,-0.0030033141287733,-0.0029255184401773,-0.00454350876781273,-0.00448884156274687,-0.00754755297199727
0.00197238722720439,0.00145032657764599,0,-0.00110144300153969,-0.00168321871082711,-0.00133422301313679,-0.00303302513469506,-0.00387483605817707,-0.00209449962604769,-0.00439610695019876,-0.00876934050316391
0,-0.00145032657764599,-0.000354798655486377,-0.000220434256375412,0.00101027117533725,0.00171510285015408,-0.000971686779851488,-0.00200200267067308,0.00307863059488467,0.00146751733736794,-0.0111298406295925
0,0,-0.00426743179621969,-0.000441014340114343,0.00168152049037484,0.00342140611272157,0.000992350711991996,0.00176668086702225,-0.0023388944003826,0.00180322375019593,-0.000730692658407861
0,0,0.00391250721396652,0,0.00669794868412765,0.0045437412516387,0.00488534854657585,0.00446167230683203,0.00344488529653164,0.00404540387637531,0.00454048984448674
0.000492489544551944,0.000483675946551188,0,0.000220531481763153,0.000333722679553006,0.000188875248460008,0.00215678907027472,0.00339161777663133,0.00404486670252968,0.00112082504448252,0.0140315559623767
-0.00197141512838428,0,-0.00284394077212902,0.00022048285835119,0.00033361134587917,0,-0.00448311360189058,-0.00491574023592278,-0.0042905367688677,-0.0110386342777795,-0.00243323218366065
0.00147892558383234,0.00144962576726471,0,0.000440819932198799,-0.00300651637860483,-0.00492238782622056,-0.000618518461876771,-0.00129145894087213,0.00416820512763616,-0.00170039149965029,-0.00899626175991086
0.000984736662539731,0.000482741983788948,0.00213371346954716,0,-0.00570375644628829,-0.000189807346114179,-0.0105946152447927,-0.0116988040306119,-0.00724418417553085,-0.0123289232896895,-0.0152631500119127
-0.00197044398729851,-0.000965717119958853,0.00283788767969817,-0.000220385675823387,0.00235254687563291,-0.00132966113236499,0.0137245082537203,0.0154511536491624,0.0104199533036531,0.0115344166932168,0.0196781682210294
