Date,ACWI,SCZ,SPY
2020-01-03,-0.00865483551868973,-0.012651316460560835,-0.007601048398628407
2020-01-06,0.002265010544927115,0.0006444484792726968,0.0038077933214362147
2020-01-07,-0.002516952631878233,-0.0024187954605841,-0.002815737819690689
2020-01-08,0.004902270997414249,-0.0003229526635708524,0.0053153843094788655
2020-01-09,0.005626735155671803,0.0038685038944574757,0.006757763910631098
2020-01-10,-0.002246915342719369,-0.005161296858002373,-0.0028818539244586105
2020-01-13,0.007470230279359669,0.004839487396070652,0.006853806284860653
2020-01-14,-0.0008686442477801037,-0.0004828777445435861,-0.0015257860188455652
2020-01-15,-0.0006209630849678405,0.0,0.002257307461584368
2020-01-16,0.007302419370899038,0.00433771190421961,0.008283978494246114
2020-01-17,0.0027093763984247232,0.0003205715261929143,0.003107697039911095
2020-01-21,-0.005426019123182968,-0.006108378775362411,-0.001960119478876976
2020-01-22,0.0007416262078132618,0.003701614291609978,0.00012075499797425948
2020-01-23,0.00012358233240838956,-0.002412570976702888,0.001146215804952888
2020-01-24,-0.008312259287921009,-0.006462021091464543,-0.008932858535968258
2020-01-27,-0.018736768275288362,-0.019640578239853212,-0.01615927078599899
2020-01-28,0.009349378085687476,0.006589834734538336,0.010424653738215994
2020-01-29,-0.00012569335252266,-0.0013145225398032423,-0.0008263669800951945
2020-01-30,0.0,-0.0016455240403505655,0.0032400993602701433
2020-01-31,-0.017764729344629693,-0.013429719642298998,-0.018324781429623016
2020-02-03,0.006762370641367532,-0.0020049953436860335,0.007401083897971894
2020-02-04,0.017021132076937562,0.018066292892834568,0.015126295011474333
2020-02-05,0.00945636194825461,0.010620109815214995,0.01148183961160587
2020-02-06,0.001979508978498856,-0.0016265207695465023,0.0033592066886782845
2020-02-07,-0.006572116230177727,-0.01080206646371007,-0.0053439099142300606
2020-02-10,0.004964040172727557,0.004105433110398238,0.00743759561792956
2020-02-11,0.005062721920823243,0.008810644488463026,0.0017315497884897724
2020-02-12,0.006629055656856231,0.003729222610794558,0.0064221056414970334
2020-02-13,-0.004537413359326337,-0.003729222610794558,-0.001067536168505967
2020-02-14,0.0009828235380195949,-0.000812595346278755,0.001600831996301899
2020-02-18,-0.0039370090790544765,-0.01111661749877868,-0.0025803258874645962
2020-02-19,0.004182517280153064,0.0055737248868128475,0.004769841309919087
2020-02-20,-0.005786427096859725,-0.005080688822999946,-0.0041167086031457245
2020-02-21,-0.007809116342476052,-0.005932789460809218,-0.010351661133343626
2020-02-24,-0.034949140016165,-0.042200354490376846,-0.033727841392333424
2020-02-25,-0.025978849883240507,-0.01686558678255068,-0.03077075060314094
2020-02-26,0.0009253711335279746,-0.0024578557299390624,-0.0036849962639191602
2020-02-27,-0.0356436298591456,-0.03524202047455827,-0.04595146753683821
2020-02-28,-0.010599543634320696,-0.006576508853874952,-0.00421039057374184
2020-03-02,0.03253978914303435,0.0150980223203514,0.042395004660122915
2020-03-03,-0.024133475051916875,-0.005430846771429465,-0.02905036247634829
2020-03-04,0.04021247493279212,0.023855458865431167,0.04117363701185894
2020-03-05,-0.031060055984010404,-0.033156124291568556,-0.03380675024137858
2020-03-06,-0.01797396978413701,-0.012537042603887993,-0.016669275633019787
2020-03-09,-0.07830213609327252,-0.07791141588767392,-0.0813125230418672
2020-03-10,0.044939865670372114,0.03391494561579478,0.05045058729381058
2020-03-11,-0.05305778324913657,-0.05519879791801374,-0.049976738450288494
2020-03-12,-0.10343362398217071,-0.12140054994398719,-0.10056886056624315
2020-03-13,0.06919364122185367,0.03701185460724643,0.0820280921987333
2020-03-16,-0.11895517619259799,-0.11516722507532196,-0.1158865374770155
2020-03-17,0.060583212299562206,0.024460803731390257,0.05258492094923639
2020-03-18,-0.06199169549243333,-0.05751744287897731,-0.05195975100253758
2020-03-19,0.006322476611287264,-0.003625991733379852,0.0021227225413289474
2020-03-20,-0.03220055049626325,0.0,-0.049913373039575326
2020-03-23,-0.017877154569677423,-0.005202945144110238,-0.02590075545834125
2020-03-24,0.07821455875837646,0.0823273452668678,0.0867309943625374
2020-03-25,0.027035490987234567,0.02818418917036425,0.014859233619037404
2020-03-26,0.05134299923854435,0.05453421780999301,0.05674869876971922
2020-03-27,-0.029709909047245908,-0.01829999003976468,-0.030238259991310912
2020-03-30,0.02180972586978136,0.0074049034060066354,0.03195952534580648
2020-03-31,-0.007483534939660252,0.002233191800925738,-0.015017586594123777
2020-04-01,-0.0469538919548107,-0.04517198957774049,-0.04604904148877953
2020-04-02,0.01990116659322272,0.013905259836409556,0.022813182552416933
2020-04-03,-0.015055290127222953,-0.03251366634510733,-0.014559672253661837
2020-04-06,0.05984963317704928,0.05166173568098964,0.0650067374854304
2020-04-07,0.00109846533603708,0.01745789132510156,0.0010189609599748906
2020-04-08,0.02386607485960912,0.018248320378642546,0.033017294838592726
2020-04-09,0.014443381849524428,0.028775876549739454,0.01510273837691578
2020-04-13,-0.008032153122962349,-0.009571502414932098,-0.009172087816788022
2020-04-14,0.02539011744788411,0.015270655425268398,0.02906632258223585
2020-04-15,-0.025237935844209858,-0.03687443320707473,-0.021477091502921652
2020-04-16,0.0042507847158610446,0.00977951400009447,0.004812695780353593
2020-04-17,0.026903362629214556,0.0207604545023945,0.02665696168981313
2020-04-20,-0.01470720833064032,-0.010005350144112413,-0.017775024816056195
2020-04-21,-0.03115995099517921,-0.01726419765361742,-0.030833763390649693
2020-04-22,0.023196588697943277,0.013835136398276049,0.02195182651689276
2020-04-23,-0.0010565195110876502,0.005993142338566404,-7.173145408767567e-05
2020-04-24,0.010216439389382437,0.012933512173829875,0.013842458314099026
2020-04-27,0.016161614176056105,0.01131132930359291,0.014315484816993518
2020-04-28,0.00014710105751358782,0.010154510361363833,-0.004609026663485949
2020-04-29,0.026126348313677106,0.02665199671234264,0.02584169927586455
2020-04-30,-0.015593758050351347,-0.013949532561910338,-0.009354281772853135
2020-05-01,-0.026691807912839316,-0.020984116705208944,-0.026830161992587698
2020-05-04,0.0032825095096900014,0.0024917526796506273,0.0027544291637404683
2020-05-05,0.006976963440461503,0.0012434728771930637,0.009196902343131974
2020-05-06,-0.005339683706563569,-0.005191580684202446,-0.00680180181100809
2020-05-07,0.013149327701553304,0.01876923969251587,0.011994593193006331
2020-05-08,0.016449965346180484,0.019025112271715106,0.016410799949864163
